method,budget,metric,error_kcal_mol,cumulative_fraction,profile_count
learned_active,6,profile_mae,0.1853542937489838,0.392,1000
learned_active,6,profile_mae,0.1853691982046416,0.393,1000
learned_active,6,profile_mae,0.1855068359810508,0.394,1000
learned_active,6,profile_mae,0.1866814407553837,0.395,1000
learned_active,6,profile_mae,0.1867908503913018,0.396,1000
learned_active,6,profile_mae,0.1872846876297486,0.397,1000
learned_active,6,profile_mae,0.1875951088260975,0.398,1000
learned_active,6,profile_mae,0.1886028507801031,0.399,1000
learned_active,6,profile_mae,0.1889004714027015,0.4,1000
learned_active,6,profile_mae,0.1892251551042947,0.401,1000
learned_active,6,profile_mae,0.1897540868338253,0.402,1000
learned_active,6,profile_mae,0.1907063461072008,0.403,1000
learned_active,6,profile_mae,0.1907678889771441,0.404,1000
learned_active,6,profile_mae,0.1912566339905165,0.405,1000
learned_active,6,profile_mae,0.19170463345192,0.406,1000
learned_active,6,profile_mae,0.1918791866327818,0.407,1000
learned_active,6,profile_mae,0.1922934986225208,0.408,1000
learned_active,6,profile_mae,0.1923104993041822,0.409,1000
learned_active,6,profile_mae,0.1929262780342215,0.41,1000
learned_active,6,profile_mae,0.1937906437676857,0.411,1000
learned_active,6,profile_mae,0.1945786446142207,0.412,1000
learned_active,6,profile_mae,0.1946086186589781,0.413,1000
learned_active,6,profile_mae,0.1948778399052754,0.414,1000
learned_active,6,profile_mae,0.1950032999491236,0.415,1000
learned_active,6,profile_mae,0.1950093030145726,0.416,1000
learned_active,6,profile_mae,0.1953414596490663,0.417,1000
learned_active,6,profile_mae,0.1955153316655892,0.418,1000
learned_active,6,profile_mae,0.1959956449377062,0.419,1000
learned_active,6,profile_mae,0.1966860629416254,0.42,1000
learned_active,6,profile_mae,0.1967489304181661,0.421,1000
learned_active,6,profile_mae,0.1969693534434415,0.422,1000
learned_active,6,profile_mae,0.1973810241523828,0.423,1000
learned_active,6,profile_mae,0.1979968914119353,0.424,1000
